0	0
40 .11
50 .13
60 .21
70 .35
80 .50
90 .66
100 .82
110 .99
120 1.17
130 1.37
140 1.57
150 1.79
160 2.01
170 2.25
180 2.51
190 2.76
200 3.03
220 3.44
240 4.04
260 4.67
280 5.37
290 5.83
